,date,pm25,pm10,o3,no2,so2,co,AQI_PM25,AQI_PM10,AQI
349,3/18/2020,65,64,44,3,6,5,114.6551724,64,114.6551724
350,3/19/2020,97,64,37,2,3,7,221.4827586,64,221.4827586
351,3/20/2020,105,59,52,2,3,6,248.7931034,59,248.7931034
352,3/21/2020,92,57,43,1,3,6,204.4137931,57,204.4137931
353,3/22/2020,84,63,37,2,2,7,179.5172414,63,179.5172414
354,3/23/2020,106,66,24,1,4,2,252.2068966,66,252.2068966
355,4/7/2020,68,19,20,1,3,5,124.8965517,19,124.8965517
356,4/13/2020,84,55,15,1,4,4,179.5172414,55,179.5172414
357,5/8/2020,56,54,19,1,4,4,93.24137931,54,93.24137931
358,5/9/2020,73,50,13,1,5,4,141.9655172,50,141.9655172
359,5/10/2020,72,48,17,1,4,6,138.5517241,48,138.5517241
360,5/11/2020,60,41,15,1,4,1,100,41,100
361,5/12/2020,45,36,5,1,4,1,74.65517241,36,74.65517241
362,5/14/2020,73,36,13,3,4,4,141.9655172,36,141.9655172
363,5/15/2020,41,44,18,5,5,5,67.89655172,44,67.89655172
364,5/16/2020,60,41,15,4,4,2,100,41,100
365,5/17/2020,58,34,12,4,4,3,96.62068966,34,96.62068966
366,5/18/2020,42,65,16,4,3,4,69.5862069,65,69.5862069
367,5/19/2020,59,52,7,4,4,4,98.31034483,52,98.31034483
368,5/20/2020,45,51,16,5,4,5,74.65517241,51,74.65517241
369,5/21/2020,47,41,19,4,3,7,78.03448276,41,78.03448276
370,5/22/2020,41,44,21,4,3,4,67.89655172,44,67.89655172
371,5/23/2020,50,44,16,4,2,4,83.10344828,44,83.10344828
372,5/24/2020,54,44,19,6,4,4,89.86206897,44,89.86206897
373,5/25/2020,54,36,19,5,3,6,89.86206897,36,89.86206897
374,5/26/2020,49,40,15,7,4,4,81.4137931,40,81.4137931
375,5/27/2020,53,42,16,5,4,1,88.17241379,42,88.17241379
376,5/28/2020,48,34,17,6,4,5,79.72413793,34,79.72413793
377,5/29/2020,37,28,15,6,4,2,61.13793103,28,61.13793103
378,5/30/2020,36,50,15,6,4,13,59.44827586,50,59.44827586
379,5/31/2020,69,19,13,5,3,6,128.3103448,19,128.3103448
380,6/1/2020,14,13,7,4,3,4,23.33333333,13,23.33333333
381,6/2/2020,15,18,8,3,4,8,25,18,25
382,6/3/2020,60,29,7,4,3,7,100,29,100
383,6/4/2020,59,31,10,4,3,4,98.31034483,31,98.31034483
384,6/5/2020,55,41,10,4,3,6,91.55172414,41,91.55172414
385,6/6/2020,70,45,8,4,3,1,131.7241379,45,131.7241379
386,6/7/2020,69,48,9,4,4,5,128.3103448,48,128.3103448
387,6/8/2020,75,52,10,4,4,3,148.7931034,52,148.7931034
388,6/9/2020,73,38,7,4,4,3,141.9655172,38,141.9655172
389,6/10/2020,60,32,7,4,3,8,100,32,100
390,6/11/2020,60,35,7,4,5,5,100,35,100
391,6/12/2020,63,35,7,4,5,8,107.8275862,35,107.8275862
392,6/13/2020,62,33,6,3,5,3,104.4137931,33,104.4137931
393,6/14/2020,57,36,6,4,5,6,94.93103448,36,94.93103448
